,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
0,1,United States,19687287.0,20.0,934.3,5.19,1.37,289.97,63414.0,12218.0,13
1,2,China,12791553.0,13.0,138.7,5.42,1.43,302.87,10435.0,1925.0,14
2,3,India,4443000.0,5.0,51.4,5.05,1.33,281.93,1901.0,376.0,7
3,4,Japan,4012877.0,4.0,481.5,4.69,1.24,262.05,40193.0,8570.0,18
4,5,Russia,3631287.0,4.0,383.2,3.41,0.9,190.56,10127.0,2970.0,8
5,6,Saudi Arabia,3302000.0,3.0,1560.2,2.35,0.62,131.34,20110.0,8557.0,5
6,7,Brazil,2984000.0,3.0,221.9,5.36,1.42,299.27,6797.0,1268.0,6
7,8,South Korea,2605440.0,3.0,783.4,6.09,1.61,340.52,31632.0,5194.0,7
8,9,Canada,2486301.0,3.0,1047.6,6.76,1.79,377.74,43258.0,6399.0,6
9,10,Germany,2383393.0,3.0,444.5,7.65,2.02,427.44,46208.0,6040.0,14
10,11,Mexico,2052607.0,2.0,255.1,4.36,1.15,243.44,8329.0,1910.0,7
11,12,Iran,1803999.0,2.0,347.6,0.2,0.05,11.21,2423.0,12115.0,35
12,13,France,1705568.0,2.0,404.3,8.27,2.19,462.13,39030.0,4719.0,12
13,14,Indonesia,1623000.0,2.0,95.1,4.48,1.18,250.42,3870.0,864.0,9
14,15,United Kingdom,1583896.0,2.0,366.2,8.38,2.22,468.47,41125.0,4908.0,13
15,16,Singapore,1357000.0,1.0,3679.5,8.71,2.3,486.87,59798.0,6865.0,2
16,17,Italy,1236628.0,1.0,312.5,8.01,2.12,447.53,31714.0,3959.0,13
17,18,Spain,1290063.0,1.0,424.1,8.35,2.21,466.57,27063.0,3241.0,8
18,19,Thailand,1302000.0,1.0,289.4,5.7,1.51,318.73,7189.0,1261.0,4
19,20,Australia,1114645.0,1.0,704.3,5.22,1.38,291.45,51693.0,9903.0,14
20,21,Taiwan,981203.0,1.0,636.9,3.94,1.04,220.17,25936.0,6583.0,10
21,22,Turkey,941861.0,1.0,180.9,6.06,1.6,338.4,8536.0,1409.0,8
22,23,Netherlands,937098.0,1.0,846.0,9.33,2.47,521.35,52397.0,5616.0,7
23,24,Egypt,877000.0,1.0,142.3,1.97,0.52,110.19,3548.0,1801.0,13
24,25,United Arab Emirates,896000.0,1.0,1467.3,4.15,1.1,232.02,36285.0,8743.0,6
25,26,Iraq,857000.0,1.0,358.9,1.95,0.51,108.71,4158.0,2132.0,6
26,27,Malaysia,708000.0,1.0,353.7,1.76,0.46,98.14,10412.0,5916.0,17
27,28,Argentina,709000.0,1.0,249.8,3.96,1.05,221.23,8579.0,2166.0,9
28,29,Belgium,631522.0,1.0,852.6,8.36,2.21,466.99,45159.0,5402.0,6
29,30,South Africa,640000.0,1.0,174.6,5.59,1.48,312.6,5091.0,911.0,5
30,31,Venezuela,598000.0,1.0,307.1,0.08,0.02,4.65,16056.0,200700.0,654
31,32,Poland,582161.0,1.0,234.9,6.8,1.8,380.07,15721.0,2312.0,10
32,33,Pakistan,556000.0,1.0,41.9,3.9,1.03,217.85,1194.0,306.0,7
33,34,Vietnam,478000.0,1.0,78.3,5.38,1.42,300.75,2786.0,518.0,7
34,35,Nigeria,428000.0,0.0,35.3,1.57,0.42,87.98,2097.0,1336.0,38
35,36,Colombia,357000.0,0.0,113.6,2.28,0.6,127.11,5333.0,2339.0,21
36,37,Algeria,429000.0,0.0,162.2,1.18,0.31,66.2,3310.0,2805.0,17
37,38,Kuwait,359000.0,0.0,1390.9,1.29,0.34,72.33,24812.0,19234.0,14
38,39,Philippines,429000.0,0.0,63.4,5.88,1.55,328.46,3299.0,561.0,9
39,40,Chile,351989.0,0.0,296.3,5.26,1.39,293.77,13232.0,2516.0,8
40,41,Hong Kong,408491.0,0.0,864.5,11.35,3.0,634.29,46324.0,4081.0,5
41,42,Kazakhstan,325000.0,0.0,279.4,1.8,0.48,100.46,9122.0,5068.0,18
42,43,Austria,262352.0,0.0,459.8,8.07,2.13,450.92,48587.0,6021.0,13
43,44,Sweden,322109.0,0.0,502.0,8.7,2.3,486.24,52274.0,6009.0,12
44,45,Peru,246000.0,0.0,121.9,6.26,1.65,349.82,6127.0,979.0,8
45,46,Ukraine,244000.0,0.0,83.7,6.44,1.7,359.76,3727.0,579.0,7
46,47,Ecuador,259000.0,0.0,240.8,4.43,1.17,247.46,5600.0,1264.0,5
47,48,Greece,296101.0,0.0,427.6,9.49,2.51,530.02,17623.0,1857.0,4
48,49,Morocco,275000.0,0.0,120.0,6.36,1.68,355.53,3009.0,473.0,4
49,50,Libya,223000.0,0.0,526.6,0.12,0.03,6.56,3699.0,30825.0,59
50,51,Switzerland,228194.0,0.0,417.5,8.27,2.19,462.34,87097.0,10532.0,25
51,52,Qatar,172000.0,0.0,993.4,2.18,0.58,121.82,50124.0,22993.0,23
52,53,Ireland,152404.0,0.0,497.5,7.84,2.07,437.81,85268.0,10876.0,22
53,54,Denmark,158194.0,0.0,424.6,10.04,2.65,561.11,61063.0,6082.0,14
54,55,Israel,236249.0,0.0,446.6,7.94,2.1,443.73,44169.0,5563.0,12
55,56,Romania,200000.0,0.0,154.9,6.87,1.82,384.08,12896.0,1877.0,12
56,57,Czech Republic (Czechia),179956.0,0.0,259.8,7.56,2.0,422.15,22932.0,3033.0,12
57,58,Turkmenistan,149000.0,0.0,403.4,1.62,0.43,90.52,7612.0,4699.0,12
58,59,Norway,204090.0,0.0,595.8,10.22,2.7,571.26,67390.0,6594.0,11
59,60,New Zealand,166913.0,0.0,549.2,7.82,2.07,436.75,41442.0,5299.0,10
60,61,Cuba,153000.0,0.0,206.9,4.77,1.26,266.49,9478.0,1987.0,10
